#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
91,Ethiopia,"493,456",,"7,572 ",,"471,833",,"14,051",1,"4,084",63,"5,239,784","43,371","120,812,698 ",Africa,"24515,95523",,,116
92,Réunion,"470,388",,884 ,,"418,572",,"50,932",10,"518,014",974,"1,603,660","1,766,027","908,061 ",Africa,"21,0271",,,"56,089"
93,Honduras,"455,836",,"10,992 ",,N/A,N/A,N/A,105,"44,597","1,075","1,520,247","148,734","10,221,247 ",North America,229307,,,"30,554"
94,Qatar,"443,303",+914,682 ,,"436,504",+795,"6,117",3,"148,764",229,"3,926,689","1,317,718","2,979,915 ",Asia,"74,3691",307,,"2,053"
95,Armenia,"441,444",,"8,679 ",,"428,059",,"4,706",,"148,536","2,920","3,205,438","1,078,558","2,971,966 ",Asia,73421,,,"1,583"
96,Oman,"397,993",,"4,260 ",,"384,669",,"9,064",2,"74,755",800,"25,000,000","4,695,724","5,323,993 ",Asia,"131,2500",,,"1,702"
97,Bosnia and Herzegovina,"397,822",,"16,108 ",,"376,591",,"5,123",,"122,432","4,957","1,854,260","570,661","3,249,317 ",Europe,82022,,,"1,577"
98,North Macedonia,"342,248",,"9,524 ",,"332,051",,673,,"164,439","4,576","2,124,867","1,020,931","2,081,304 ",Europe,62191,,,323
99,Kenya,"338,347",,"5,675 ",,"332,585",,87,1,"6,019",101,"3,874,269","68,919","56,215,221 ",Africa,"1669,90615",,,2
100,Zambia,"333,387",,"4,017 ",,"329,218",,152,,"17,123",206,"3,721,778","191,152","19,470,234 ",Africa,"584,8475",,,8
101,Albania,"331,601",,"3,588 ",,"325,801",,"2,212",,"115,687","1,252","1,941,032","677,173","2,866,374 ",Europe,97991,,,772
102,Botswana,"326,127",,"2,787 ",,"322,955",,385,1,"133,595","1,142","2,026,898","830,300","2,441,162 ",Africa,78761,,,158
103,Luxembourg,"288,658",,"1,123 ",,"283,668",,"3,867",,"449,363","1,748","4,402,293","6,853,194","642,371 ",Europe,25720,,,"6,020"
104,Montenegro,"278,509",,"2,780 ",,"274,604",,"1,125",6,"443,521","4,427","2,614,185","4,163,046","627,950 ",Europe,22260,,,"1,792"
105,Algeria,"270,612",,"6,879 ",,"182,253",,"81,480",6,"5,967",152,"230,861","5,091","45,350,148 ",Africa,"1686,593196",,,"1,797"
106,Nigeria,"264,933",,"3,155 ",,"257,954",,"3,824",11,"1,222",15,"5,441,162","25,104","216,746,934 ",Africa,"81868,70040",,,18
107,Zimbabwe,"257,090",,"5,598 ",,"251,158",,334,12,"16,769",365,"2,501,571","163,166","15,331,428 ",Africa,"602,7396",,,22
108,Uzbekistan,"244,060",,"1,637 ",,"241,486",,937,23,"7,098",48,"1,377,915","40,077","34,382,084 ",Asia,"14121,00325",,,27
109,Mozambique,"230,219",,"2,221 ",,"227,882",,116,11,"6,957",67,"1,371,127","41,437","33,089,461 ",Africa,"14414,89824",,,4
110,Brunei ,"224,610",,225 ,,"222,140",,"2,245",3,"504,253",505,"717,784","1,611,437","445,431 ",Asia,"21,9801",,,"5,040"
111,Martinique,"220,192",,"1,042 ",,N/A,N/A,N/A,8,"588,612","2,785","828,928","2,215,870","374,087 ",North America,23590,,,"585,548"
112,Laos,"215,505",+57,758 ,+1,N/A,N/A,N/A,,"28,807",101,"1,233,207","164,845","7,481,023 ",Asia,"359,8696",8,0.1,"27,682"
113,Kyrgyzstan,"205,998",,"2,991 ",,"196,406",,"6,601",131,"30,617",445,"1,907,195","283,460","6,728,271 ",Asia,"332,2504",,,981
114,Iceland,"205,284",,213 ,,N/A,N/A,N/A,2,"594,349",617,"1,996,384","5,780,036","345,393 ",Europe,"21,6220",,,"374,605"
115,El Salvador,"201,785",,"4,228 ",,"179,410",,"18,147",8,"30,805",645,"2,610,114","398,467","6,550,389 ",North America,"321,5493",,,"2,770"
116,Afghanistan,"197,434",,"7,796 ",,"176,064",,"13,574","1,124","4,844",191,"1,091,811","26,790","40,754,388 ",Asia,"2065,22837",,,333
117,Guadeloupe,"191,997",,986 ,,N/A,N/A,N/A,19,"480,240","2,466","938,039","2,346,306","399,794 ",North America,24050,,,"472,146"
118,Maldives,"185,004",,308 ,,"163,687",,"21,009",25,"341,976",569,"2,213,831","4,092,223","540,985 ",Asia,"31,7560",,,"38,835"
119,Trinidad and Tobago,"182,306",,"4,194 ",,"173,772",,"4,340",18,"129,609","2,982","832,415","591,799","1,406,585 ",North America,83352,,,"3,085"
120,Uganda,"169,396",,"3,628 ",,"100,431",,"65,337",3,"3,498",75,"3,012,408","62,198","48,432,863 ",Africa,"28613,35016",,,"1,349"
121,Namibia,"169,253",,"4,065  ",,"164,813",,375,,"64,260","1,543","1,062,663","403,460","2,633,874 ",Africa,166482,,,142
122,Ghana,"168,813",,"1,459 ",,"167,206",,148,2,"5,211",45,"2,501,608","77,221","32,395,450 ",Africa,"19222,20413",,,5
123,Jamaica,"151,340",,"3,296 ",,"98,252",,"49,792",,"50,699","1,104","1,179,098","394,995","2,985,094 ",North America,209063,,,"16,680"
124,Cambodia,"137,778",+7,"3,056 ",,"134,667",+8,55,,"8,025",178,"3,063,149","178,415","17,168,639 ",Asia,"1255,6186",0.4,,3
125,Rwanda,"132,486",,"1,466 ",,"130,955",,65,,"9,741",108,"5,796,927","426,230","13,600,464 ",Africa,"1039,2772",,,5
126,Cameroon,"121,652",,"1,935 ",,"118,616",,"1,101",13,"4,358",69,"1,751,774","62,762","27,911,548 ",Africa,"22914,42516",,,39
127,Malta,"114,443",+18,804 ,,"113,077",+11,562,4,"257,735","1,811","2,056,021","4,630,334","444,033 ",Europe,45520,41,,"1,266"
128,Angola,"103,131",,"1,917 ",,"101,155",,59,,"2,944",55,"1,499,795","42,818","35,027,343 ",Africa,"34018,27223",,,2
129,Barbados,"102,230",,559 ,,"101,314",,357,,"354,937","1,941","762,143","2,646,119","288,023 ",North America,35150,,,"1,239"
130,French Guiana,"93,925",,410 ,,"11,254",,"82,261",3,"298,963","1,305","651,257","2,072,951","314,169 ",South America,37660,,,"261,837"
131,DRC,"92,809",,"1,441 ",,"83,504",,"7,864",,974,15,"846,704","8,890","95,240,792 ",Africa,"1,02666,094112",,,83
132,Channel Islands,"90,547",,200 ,,"89,857",,490,,"513,122","1,133","1,252,808","7,099,551","176,463 ",Europe,28820,,,"2,777"
133,Senegal,"88,268",,"1,968 ",,"86,174",,126,,"5,000",111,"1,146,543","64,946","17,653,671 ",Africa,"2008,97015",,,7
134,Malawi,"87,981",,"2,680 ",,"84,817",,484,67,"4,360",133,"614,698","30,459","20,180,839 ",Africa,"2297,53033",,,24
135,Ivory Coast,"87,036",,822 ,,"86,164",,50,,"3,137",30,"1,623,073","58,505","27,742,298 ",Africa,"31933,75017",,,2
136,Suriname,"81,078",,"1,384 ",,"49,620",,"30,074",,"135,848","2,319","239,051","400,534","596,831 ",South America,74312,,,"50,389"
137,French Polynesia,"76,578",,649 ,,N/A,N/A,N/A,7,"269,485","2,284",,,"284,164 ",Australia/Oceania,4438,,,"149,312"
138,New Caledonia,"74,139",+57,314 ,,"73,769",+130,56,9,"254,848","1,079","98,964","340,182","290,915 ",Australia/Oceania,49263,196,,192
139,Eswatini,"73,379",,"1,422 ",,"71,950",,7,11,"61,933","1,200","1,045,030","882,018","1,184,817 ",Africa,168331,,,6
140,Guyana,"71,263",,"1,281 ",,"69,869",,113,,"89,747","1,613","693,060","872,822","794,045 ",South America,116201,,,142
141,Belize,"68,704",,680 ,,"67,860",,164,6,"166,680","1,650","576,016","1,397,453","412,190 ",North America,66061,,,398
142,Fiji,"68,223",,878 ,,"66,274",,"1,071",,"75,014",965,"659,796","725,476","909,466 ",Australia/Oceania,"131,0361",,,"1,178"
143,Madagascar,"66,660",,"1,410 ",,"65,230",,20,2,"2,285",48,"512,454","17,563","29,178,077 ",Africa,"43820,69457",,,0.7
144,Sudan,"63,285",,"4,961 ",,"57,234",,"1,090",,"1,376",108,"562,941","12,240","45,992,020 ",Africa,"7279,27182",,,24
